1.704000016501917969e+01,7.733187809587775963e-01
1.686405620630361213e+01,8.429456417415583935e-01
1.776717251021414157e+01,7.087614270690073548e-01
1.605222737539212119e+01,9.719914106992810776e-01
1.766414677707974690e+01,7.512644059364894655e-01
1.655926971092110378e+01,8.673857307046237697e-01
1.497660487249406103e+01,1.000000000000000000e+00
1.813542867204128939e+01,3.019898294623569734e-01
1.794210925312100358e+01,5.681472054743079703e-01
1.801599931329321436e+01,4.979327669521832478e-01
1.626651961282772874e+01,8.924827524415375191e-01
1.700754255131088044e+01,8.191370252346912295e-01
