;820 SB;819 SB;818 SB;817 SB;816 SB;815 SB;814 SB;813 SB;812 SB;811 SB;810 SB
06:00;4020;4080;4680;5220;4080;3900;4500;3120;6240;5940;6300
06:01;6240;5100;4080;3540;3600;4260;4560;2700;5640;5520;6180
06:02;5160;6240;6360;5880;4920;3840;3120;2160;5760;5880;5760
06:03;4620;5100;5700;5820;6180;6300;5640;3120;5280;4560;4200
06:04;4740;4860;4680;4380;4440;4980;5760;3420;7920;6360;6540
06:05;6060;5280;5280;5040;4500;4740;3780;2700;6540;7320;6840
06:06;4800;5160;5040;6180;5460;4800;4740;2520;6300;5820;6420
06:07;5220;4980;5040;4560;4620;5040;5940;3420;5940;5580;5520
06:08;7680;6180;5340;5220;4920;4500;4020;2640;5820;6240;6420
06:09;3900;5880;6240;6060;5280;4680;5460;3360;6120;5520;6120
06:10;4560;4800;5700;5880;5580;5760;5400;3180;5760;6660;6420
06:11;6120;4980;4200;4560;4380;5460;5220;3120;7020;5700;5520
06:12;4680;5760;5520;5580;4740;3780;4260;2640;6720;6840;6540
06:13;4800;5160;5460;5400;5160;4860;4680;2940;5220;5520;5940
06:14;4560;4320;4440;4680;4740;5340;5340;3540;7680;6060;6360
06:15;4800;4800;4620;4560;3900;3720;4020;2220;6000;6060;6000
06:16;5760;5520;5100;4740;4920;4740;4260;2940;5460;5100;5220
06:17;5640;6180;6300;6180;4980;4860;5040;2880;6420;5940;5940
06:18;5340;4980;5520;5400;5640;5940;5760;3360;6720;6540;6240
06:19;5820;6420;5940;5520;4440;4740;4620;3120;5880;6120;6480
06:20;5520;5340;5700;6060;6000;5400;5340;2520;5880;6000;6060
06:21;5040;5580;5400;5340;5160;5760;5940;3240;6360;5940;6060
06:22;4020;4680;4800;5160;5460;5040;4980;3120;6720;6240;6360
06:23;4500;3840;4320;4200;4380;4620;4500;3120;5280;6060;5940
06:24;4260;4620;4260;4320;3360;3960;4500;2940;6300;5760;6180
06:25;5580;4560;4440;4380;4380;4140;3720;1920;5580;6180;6120
06:26;3900;4980;5280;5400;4740;4320;4080;2760;6060;5580;6060
06:27;5760;4860;4200;3960;4680;5160;5280;2820;6660;6120;5400
06:28;5220;5640;5760;5340;4380;3960;3780;2940;5880;5520;5880
06:29;5160;4740;5220;5460;5100;4920;4860;2640;5640;5700;6060
06:30;4560;5580;5220;5460;4560;4800;5100;2880;5640;5820;5820
06:31;5640;3900;3840;4380;5220;5460;5040;2460;5880;5400;5520
06:32;4800;5760;5340;4980;4140;3600;4500;3300;5760;5820;6000
06:33;5280;5280;6120;5580;4440;4620;4680;2400;5940;5940;6420
06:34;4980;5520;5280;5460;5460;5640;4800;2400;5760;5580;5760
06:35;4020;4440;4920;5040;4740;4800;4740;3000;5760;6240;5940
06:36;5640;4140;3840;4140;3900;4140;3960;3060;7020;5760;6060
06:37;5280;6000;5520;4860;3720;3480;4260;2820;5820;5880;5940
06:38;5040;5100;5700;6060;5820;5100;4500;2580;5700;5940;5700
06:39;4080;4980;5040;5040;4320;5100;5400;2760;6000;5940;5820
06:40;4320;4200;3780;4260;4800;4860;4560;3240;6360;5460;6420
06:41;5460;4920;4980;4320;3360;3480;4080;2700;5100;6000;5760
06:42;4500;4800;4980;5520;4740;4560;3840;2400;6060;5640;6060
06:43;4920;4980;5040;4680;4260;4200;4680;2880;5700;5460;5580
06:44;4620;4920;4860;4860;4320;4380;4440;2820;6000;5580;5940
06:45;4260;4440;4260;4440;4680;4500;4200;2400;5340;5940;5820
06:46;5040;4440;4860;4680;4200;4320;4200;2460;5940;5820;6240
06:47;5280;5340;4680;4800;4380;4320;4200;2220;6300;6840;6360
06:48;4260;5400;5580;5340;5040;4380;4200;2700;6240;5820;6360
06:49;3900;3360;4140;4560;4920;5100;4800;2940;5700;5400;5400
06:50;4020;4740;4200;3900;3180;4200;4500;2460;5040;5580;5460
06:51;5280;4560;3960;4020;4560;3840;3420;2580;5340;5460;5340
06:52;5400;5760;5520;5400;4440;3720;4140;2520;6600;6240;6240
06:53;3600;4200;4980;5220;5340;5340;4680;2460;6240;5580;6480
06:54;5340;4260;3840;3840;3780;4200;4380;3300;5280;5640;5760
06:55;5160;4920;5460;5520;3780;3360;4080;2760;6360;6000;5640
06:56;5520;5400;5340;4980;4860;4860;4080;2280;5940;5460;6180
06:57;4920;5580;5700;5400;4860;4800;4440;2520;4920;5640;5820
06:58;4140;4440;4800;5400;5100;4800;4140;2100;5460;5400;5820
06:59;4560;4800;4560;3960;4380;4980;4140;2520;5760;5400;5280
